name,latitude,longitude,category,published_gen_headroom_mw,summer_midday_p50_mw,winter_evening_p50_mw,demand_headroom_ratio
Apollo,52.638461,-1.710013,Normal,18.2,12.0,11.3,0.7
Pytchley Road,52.374881,-0.720698,Normal,11.2,6.7,8.9,0.6
Barton Under Needwood,52.75828,-1.704447,Normal,15.7,6.0,6.8,0.4
Trent Lane,52.8502,-1.3454,Normal,13.2,4.2,7.5,0.3
Torrington Avenue,52.399385,-1.571574,Normal,15.5,8.5,11.2,0.5
Cox Street,52.409721,-1.502072,Normal,21.2,6.6,7.9,0.3
Holyhead Road,52.417098,-1.543422,Normal,17.8,5.8,9.3,0.3
Sandy Lane,52.418006,-1.511697,Normal,23.7,8.8,11.7,0.4
Copsewood,52.403083,-1.464136,Normal,18.1,9.2,12.9,0.5
Whitley,52.39344,-1.483092,Normal,19.0,10.7,11.8,0.6
Coventry North,52.45373,-1.467524,Normal,29.9,13.2,11.8,0.4
Claverdon,52.425287,-1.446337,Normal,15.4,5.6,9.9,0.4
Kenilworth,52.276873,-1.69536,Normal,18.9,7.8,13.3,0.4
Banbury Road,52.337094,-1.584622,Normal,12.0,6.8,10.6,0.6
Campion Hills,52.257926,-1.564851,Normal,16.1,6.3,10.0,0.4
Wise Street,52.296466,-1.515967,Normal,19.0,8.8,14.5,0.5
Gaydon,52.283399,-1.532821,Normal,14.3,4.3,7.4,0.3
Harbury,52.375426,-1.288167,Normal,16.5,3.7,5.5,0.2
Princethorpe,52.201712,-1.485201,Normal,11.4,2.1,3.5,0.2
Southam,52.227229,-1.430722,Normal,11.5,4.5,7.9,0.4
Ansty,52.330422,-1.414504,Normal,15.2,0.4,0.4,0.0
Lutterworth,52.273194,-1.390519,Normal,6.7,5.8,9.4,0.9
Union Street,52.429981,-1.40039,Normal,18.2,9.1,13.2,0.5
Nuneaton,52.455437,-1.216652,Normal,17.6,9.7,11.0,0.5
Arley,52.369228,-1.265545,Normal,9.6,2.2,3.4,0.2
Newdigate,52.512095,-1.488155,Normal,14.5,2.0,3.8,0.1
Gipsy Lane,52.502201,-1.575423,Normal,18.0,5.9,9.2,0.3
Langdale Drive,52.486008,-1.49912,Normal,18.3,7.4,9.7,0.4
Marsh Lane,52.50141,-1.443363,Normal,14.2,8.3,8.6,0.6
Coventry Arena,52.529948,-1.436443,Normal,17.5,6.2,7.4,0.4
Interlink Park,52.961851,-0.01371,Normal,17.0,5.4,5.2,0.3
Beevor Street,52.449807,-1.493248,Normal,18.0,7.4,10.7,0.4
Kettering North,52.698945,-1.34643,Normal,17.2,2.9,4.4,0.2
Pineham,53.225298,-0.552637,Normal,10.8,2.6,2.9,0.2
Hanslope Park,52.425231,-0.735124,Normal,6.4,4.0,3.9,0.6
